"movie_title","release_date","genre","MPAA_rating","total_gross","inflation_adjusted_gross"
"DuckTales: The Movie - Treasure of th…",2019-08-03,"Adventure","G",18075331,36107823
"Taking Care of Business",2019-08-17,"Comedy","R",20005435,39963460
"Mr. Destiny",2019-10-12,"Comedy","PG-13",15379253,30722056
"The Rescuers Down Under",2019-11-16,"Adventure","G",27931461,55796728
"3 Men and a Little Lady",2019-11-21,"Comedy","PG",71609321,143108869
"Green Card",2019-12-25,"Romantic Comedy","PG-13",29804169,59679131
"White Fang",2019-01-18,"Adventure","PG",34729091,69540672
"Scenes from a Mall",2019-02-22,"Comedy",NA,9563393,19149495
"Haakon Haakonsen",2019-03-01,"Adventure","PG",15024232,30084149
"The Marrying Man",2019-04-05,"Romantic Comedy","R",12454768,24939118
"Oscar",2019-04-26,"Comedy","PG",23562716,47181395
"One Good Cop",2019-05-03,"Action","R",11276846,22580472
"What About Bob?",2019-05-17,"Comedy","PG",63710000,127571325
"Wild Hearts Can't Be Broken",2019-05-24,"Drama",NA,7300000,14617333
"The Rocketeer",2019-06-21,"Action","PG",46573027,93256673
"The Doctor",2019-07-24,"Drama","PG-13",37497480,75084021
"Paradise",2019-09-18,"Drama","PG-13",18634643,37313540
"Deceived",2019-09-27,"Thriller/Suspense","PG-13",28738096,57544453
"Ernest Scared Stupid",2019-10-11,"Comedy","PG",14143280,28320147
"Billy Bathgate",2019-11-01,"Drama","R",15565363,31167691
"Beauty and the Beast",2019-11-13,"Musical","G",218951625,363017667
"Father of the Bride",2019-12-20,"Comedy","PG",89325780,179821881
"The Hand That Rocks the Cradle",2019-01-10,"Thriller/Suspense","R",88036683,178831137
"Medicine Man",2019-02-07,"Drama","PG-13",44948240,91304495
"Blame it on the Bellboy",2019-03-06,"Comedy","PG-13",2891055,5872667
"Noises Off...",2019-03-20,"Comedy","PG-13",2280148,4631720
"Straight Talk",2019-04-03,"Comedy","PG",21202099,43068356
"Newsies",2019-04-08,NA,"PG",2706352,5497481
"Passed Away",2019-04-24,NA,"PG-13",4030793,8187848
"Encino Man",2019-05-22,"Comedy","PG",40057130,81369058
"Sister Act",2019-05-29,"Comedy","PG",139605150,283583472
"Honey I Blew Up the Kid",2019-07-17,"Comedy","PG",58662452,119162518
"A Stranger Among Us",2019-07-17,"Drama","PG-13",12282994,24950752
"3 Ninjas",2019-08-07,"Action","PG",29028000,58965304
"A Gun in Betty Lou's Handbag",2019-08-21,NA,"PG-13",3591460,7295423
"Captain Ron",2019-09-18,"Comedy","PG-13",22518097,45741576
"Sarafina!",2019-09-18,"Drama","PG-13",7306242,14841352
"Innocent Blood",2019-09-25,"Horror","R",4877567,9907922
"The Mighty Ducks",2019-10-02,"Comedy","PG",50752337,103120810
"1492: Conquest of Paradise",2019-10-09,"Adventure","PG-13",7099531,14421454
"Consenting Adults",2019-10-16,"Drama","R",21591728,43859823
"Aladdin",2019-11-11,"Comedy","G",217350219,441969178
"The Distinguished Gentleman",2019-12-04,"Comedy","R",46434570,94349900
"The Muppet Christmas Carol",2019-12-11,"Comedy","G",27281507,55417615
"Alive",2019-01-15,"Adventure","R",36299670,73914543
"Aspen Extreme",2019-01-22,"Romantic Comedy","PG-13",7843388,15970955
"Homeward Bound: The Incredible Journey",2019-02-03,"Adventure","G",41833324,85182343
"The Cemetery Club",2019-02-03,"Comedy","PG-13",5583621,11369541
"Swing Kids",2019-03-05,"Musical","PG-13",5632086,11468231
"A Far Off Place",2019-03-12,"Adventure","PG",12890752,26248558
"Born Yesterday",2019-03-26,"Romantic Comedy","PG",17760754,36165012
"The Adventures of Huck Finn",2019-04-02,"Adventure","PG",24103594,49080505
"Bound by Honor",2019-04-16,NA,"R",4496583,9156084
