"movie_title","release_date","genre","MPAA_rating","total_gross","inflation_adjusted_gross"
"The Princess Diaries 2: Royal Engagement",2020-08-11,"Romantic Comedy","G",95149435,129164207
"Mr. 3000",2020-09-17,"Comedy","PG-13",21800302,29593641
"The Last Shot",2020-09-24,"Comedy","R",463730,629502
"Ladder 49",2020-10-01,"Action","PG-13",74541707,101161045
"The Incredibles",2020-11-05,"Adventure","PG",261441092,354488708
"National Treasure",2020-11-19,"Adventure","PG",173005002,234069353
"The Life Aquatic with Steve Zissou",2020-12-10,"Comedy","R",24006726,32198655
"Aliens of the Deep",2020-01-28,"Documentary","G",8968684,11740942
"Pooh's Heffalump Movie",2020-02-11,"Adventure","G",18098433,23801835
"The Pacifier",2020-03-04,"Comedy","PG",113006880,148619029
"Ice Princess",2020-03-18,"Comedy","G",24381334,32064685
"A Lot Like Love",2020-04-22,"Comedy","PG-13",21835784,28716947
"The Hitchhiker's Guide to the Galaxy",2020-04-29,"Comedy","PG",51019112,67096891
"Hauru no ugoku shiro",2020-06-10,"Adventure","PG",4710455,6194870
"Herbie: Fully Loaded",2020-06-22,"Comedy","G",66010682,86812798
"Dark Water",2020-07-08,"Thriller/Suspense","PG-13",25473093,33500491
"Sky High",2020-07-29,"Adventure","PG",63939454,84088854
"Valiant",2020-08-19,"Adventure","G",19478106,25616292
"Flightplan",2020-09-23,"Thriller/Suspense","PG-13",89706988,117960425
"The Greatest Game Ever Played",2020-09-30,"Drama","PG",15331289,20162672
"Shopgirl",2020-10-21,"Drama","R",10284523,13519621
"Chicken Little",2020-11-04,"Adventure","G",135386665,177954661
"The Chronicles of Narnia: The Lion, t…",2020-12-09,"Adventure","PG",291710957,381557539
"Casanova",2020-12-25,"Drama","R",11304403,14574087
"Glory Road",2020-01-13,"Drama","PG",42647449,54888236
"Annapolis",2020-01-27,"Drama","PG-13",17127992,22044113
"Roving Mars",2020-01-27,"Documentary","G",10407978,12948025
"Eight Below",2020-02-17,"Adventure","PG",81612565,105037235
"The Shaggy Dog",2020-03-10,"Comedy","PG",61123569,78667428
"Stay Alive",2020-03-24,"Horror","PG-13",23086480,29712825
"The Wild",2020-04-14,"Adventure","G",37384046,48114115
"Stick It",2020-04-28,"Comedy","PG-13",26910736,34634731
"Goal! The Dream Begins",2020-05-12,"Drama","PG",4283255,5512647
"Cars",2020-06-09,"Comedy","G",244082982,314140384
"Pirates of the Caribbean: Dead Man’…",2020-07-07,"Adventure","PG-13",423315812,544817142
"Step Up",2020-08-11,"Drama","PG-13",65328121,84078780
"Invincible",2020-08-25,"Drama","PG",57806952,74398864
"The Guardian",2020-09-29,"Action","PG-13",55011732,70801353
"The Prestige",2020-10-20,"Thriller/Suspense","PG-13",53089891,68289913
"Tim Burton's The Nightmare Before Chr…",2020-10-20,"Musical","PG",24732041,30737517
"The Santa Clause 3: The Escape Clause",2020-11-03,"Comedy","G",84500122,108694869
"Déjà Vu",2020-11-22,"Thriller/Suspense","PG-13",64038616,82267038
"Apocalypto",2020-12-08,"Adventure","R",50866635,64959548
"Primeval",2020-01-12,"Adventure","R",10597734,12985302
"Bridge to Terabithia",2020-02-16,"Drama","PG",82234139,100760721
"Wild Hogs",2020-03-02,"Comedy","PG-13",168213584,206110533
"Meet the Robinsons",2020-03-30,"Adventure","G",97822171,119860589
"The Lookout",2020-03-30,"Drama","R",4600585,5637048
"The Hoax",2020-04-06,"Drama","R",7164995,8779196
"The Invisible",2020-04-27,"Thriller/Suspense","PG-13",20568319,25202168
"Pirates of the Caribbean: At World’…",2020-05-24,"Adventure","PG-13",309420425,379129960
"Ratatouille",2020-06-29,"Comedy","G",206445654,252955933
"Underdog",2020-08-03,"Adventure","PG",43760605,53619462
"The Game Plan",2020-09-22,"Comedy","PG",90648202,111010758
"Dan in Real Life",2020-10-20,"Romantic Comedy","PG-13",47642963,58350234
"Enchanted",2020-11-21,"Romantic Comedy","PG",127706877,156074310
"National Treasure 2: Book of Secrets",2020-12-21,"Adventure","PG",219961501,267003525
"Hannah Montana/Miley Cyrus: Best of B…",2020-02-01,"Concert/Performance","G",65281781,76646993
"Step Up 2 the Streets",2020-02-14,"Drama","PG-13",58017783,68118371
"College Road Trip",2020-03-07,"Comedy","G",45610425,53550960
"The Chronicles of Narnia: Prince Caspian",2020-05-16,"Adventure","PG",141621490,166277038
"WALL-E",2020-06-27,"Adventure","G",223808164,262771918
"Swing Vote",2020-08-01,"Comedy","PG-13",16289867,19125841
"Goal! 2: Living the Dream...",2020-08-29,"Drama","PG-13",225067,264247
"Miracle at St. Anna",2020-09-26,"Drama","R",7916887,9295171
"Beverly Hills Chihuahua",2020-10-03,"Comedy","PG",94514402,110932022
"Morning Light",2020-10-17,"Documentary","PG",275093,322979
"High School Musical 3: Senior Year",2020-10-24,"Musical","G",90559416,106308538
"Bolt",2020-11-21,"Comedy","PG",114053759,133702498
"Bedtime Stories",2020-12-25,"Comedy","PG",110101975,128039679
"Confessions of a Shopaholic",2020-02-13,"Romantic Comedy","PG",44277350,49767744
"Jonas Brothers: The 3D Concert Experi…",2020-02-27,"Concert/Performance","G",38174685,38174685
"Race to Witch Mountain",2020-03-13,"Adventure","PG",67172594,75501997
"Hannah Montana the Movie",2020-04-10,"Drama","G",79576189,89443640
"Earth",2020-04-22,"Documentary","G",32011576,35981010
"Up",2020-05-29,"Adventure","PG",293004164,329336681
"The Proposal",2020-06-19,"Romantic Comedy","PG-13",163958031,184288829
"G-Force",2020-07-24,"Adventure","PG",119436770,134246932
"Gake no ue no Ponyo",2020-08-14,"Adventure","G",15090399,16961607
"X Games 3D: The Movie",2020-08-21,"Documentary","PG",1391434,1563976
"Walt and El Grupo",2020-09-10,"Documentary","PG",20521,23064
"Surrogates",2020-09-25,"Action","PG-13",38577772,43361416
"Toy Story 3D Double Feature",2020-10-02,"Adventure","G",30702446,34509545
"Disney's A Christmas Carol",2020-11-06,"Drama","PG",137855863,154927105
"The Princess and the Frog",2020-11-25,"Adventure","G",104400899,116316457
"Old Dogs",2020-11-25,"Comedy","PG",49492060,55503929
"When in Rome",2020-01-29,"Romantic Comedy","PG-13",32680633,34917330
"Alice in Wonderland",2020-03-05,"Adventure","PG",334191110,357063499
"Waking Sleeping Beauty",2020-03-26,"Documentary","PG",80741,86264
"The Last Song",2020-03-31,"Drama","PG",62950384,67258772
"Oceans",2020-04-22,"Documentary","G",19422319,20751600
"Prince of Persia: Sands of Time",2020-05-28,"Action","PG-13",90759676,96971361
"Toy Story 3",2020-06-18,"Adventure","G",415004880,443408255
"The Sorcerer's Apprentice",2020-07-14,"Adventure","PG",63150991,67473105
"Step Up 3D",2020-08-06,"Drama","PG-13",42400223,45302137
"Gedo Senki (Tales from Earthsea)",2020-08-13,"Adventure","PG-13",48658,51988
"You Again",2020-09-24,"Comedy","PG",25702053,27461121
"Secretariat",2020-10-08,"Drama","PG",59699513,63781920
"Tangled",2020-11-24,"Adventure","PG",200821936,214388548
"Tron: Legacy",2020-12-17,"Adventure","PG",172062763,183619259
"Gnomeo and Juliet",2020-02-11,"Comedy","G",99967670,106270797
"I am Number Four",2020-02-18,"Adventure","PG-13",55100437,58574607
"Mars Needs Moms",2020-03-11,"Adventure","PG",21392758,22741603
"African Cats",2020-04-22,"Documentary","G",15428747,16401551
"Zokkomon",2020-04-22,"Adventure","PG",2815,2984
"Prom",2020-04-29,"Comedy","PG",10130219,10768946
"Pirates of the Caribbean: On Stranger…",2020-05-20,"Adventure","PG-13",241063875,256263359
"Cars 2",2020-06-24,"Adventure","G",191450875,203522177
"Winnie the Pooh",2020-07-15,"Adventure","G",26692846,28375869
"The Help",2020-08-10,"Drama","PG-13",169705587,180404976
"Fright Night",2020-08-19,"Horror","R",18298649,19452402
"Real Steel",2020-10-07,"Action","PG-13",85463309,90848019
"The Muppets",2020-11-23,"Comedy","PG",88625922,94189503
"War Horse",2020-12-25,"Drama","PG-13",79883359,84762149
"The Secret World of Arietty",2020-02-17,"Adventure","G",19192510,20325733
"John Carter",2020-03-09,"Adventure","PG-13",73058679,77372445
"Chimpanzee",2020-04-20,"Documentary","G",28965459,30675725
"The Avengers",2020-05-04,"Action","PG-13",623279547,660081224
"Brave",2020-06-22,"Adventure","PG",237282182,251292441
"People Like Us",2020-06-29,"Drama","PG-13",12431792,13165822
"The Odd Life of Timothy Green",2020-08-15,"Drama","PG",51853450,54914942
"Frankenweenie",2020-10-05,"Comedy","PG",35287788,37363513
"Wreck-It Ralph",2020-11-02,"Adventure","PG",189412677,200354959
"Lincoln",2020-11-09,"Drama","PG-13",182207973,192122330
"Oz the Great and Powerful",2020-03-08,"Adventure","PG",234770996,243434130
"Iron Man 3",2020-05-03,"Action","PG-13",408992272,424084233
"Monsters University",2020-06-21,"Adventure","G",268488329,278395641
"The Lone Ranger",2020-07-02,"Western","PG-13",89302115,92597388
"Disney Planes",2020-08-09,"Comedy","PG",90282580,93614037
"The Fifth Estate",2020-10-18,"Drama","R",3254172,3374251
"Thor: The Dark World",2020-11-08,"Adventure","PG-13",206362140,213962184
"Kaze Tachinu",2020-11-08,"Drama","PG-13",5201879,5367415
"Frozen",2020-11-22,"Adventure","PG",400738009,414997174
"Delivery Man",2020-11-22,"Comedy","PG-13",30659817,31787136
"Saving Mr. Banks",2020-12-13,"Drama","PG-13",83299761,86249969
"Need for Speed",2020-03-14,"Action","PG-13",43568507,44955015
"Muppets Most Wanted",2020-03-21,"Comedy","PG",51178893,52807594
"Captain America: The Winter Soldier",2020-04-04,"Action","PG-13",259746958,268013076
"Bears",2020-04-18,"Documentary","G",17780194,18346024
"Million Dollar Arm",2020-05-10,"Drama","PG",36447959,37607865
"Maleficent",2020-05-30,"Adventure","PG",241407328,249089809
"Planes: Fire and Rescue",2020-07-18,"Adventure","PG",59157732,61040349
"Guardians of the Galaxy",2020-08-01,"Adventure","PG-13",333172112,343771168
"The Hundred-Foot Journey",2020-08-08,"Romantic Comedy","PG",54235441,55961409
"Alexander and the Terrible, Horrible,…",2020-10-10,"Comedy","PG",66954149,69055550
"Big Hero 6",2020-11-07,"Adventure","PG",222527828,229249222
"Into the Woods",2020-12-25,"Musical","PG",128002372,130894237
"Strange Magic",2020-01-23,"Adventure","PG",12429583,12429583
"McFarland, USA",2020-02-20,"Drama","PG",44480275,44480275
"Cinderella",2020-03-13,"Drama","PG",201151353,201151353
"Monkey Kingdom",2020-04-17,"Documentary","G",16432322,16432322
"Avengers: Age of Ultron",2020-05-01,"Action","PG-13",459005868,459005868
"Tomorrowland",2020-05-22,"Adventure","PG",93436322,93436322
"Inside Out",2020-06-19,"Adventure","PG",356461711,356461711
"Ant-Man",2020-07-17,"Action","PG-13",180202163,180202163
"Bridge of Spies",2020-10-16,"Thriller/Suspense","PG-13",72313754,72313754
"The Good Dinosaur",2020-11-25,"Adventure","PG",123087120,123087120
"Star Wars Ep. VII: The Force Awakens",2020-12-18,"Adventure","PG-13",936662225,936662225
"The Finest Hours",2020-01-29,"Thriller/Suspense","PG",27569558,27569558
"Zootopia",2020-03-04,"Adventure","PG",341268248,341268248
"The Jungle Book",2020-04-15,"Adventure","PG",364001123,364001123
"A Beautiful Planet",2020-04-29,"Documentary","G",7895708,7895708
"Captain America: Civil War",2020-05-06,"Action","PG-13",408084349,408084349
"Alice Through the Looking Glass",2020-05-27,"Adventure","PG",77042381,77042381
"Finding Dory",2020-06-17,"Adventure","PG",486295561,486295561
"The BFG",2020-07-01,"Adventure","PG",55483770,55483770
"Pete’s Dragon",2020-08-12,"Adventure","PG",76233151,76233151
"The Light Between Oceans",2020-09-02,"Drama","PG-13",12545979,12545979
"Queen of Katwe",2020-09-23,"Drama","PG",8874389,8874389
"Doctor Strange",2020-11-04,"Adventure","PG-13",232532923,232532923
"Moana",2020-11-23,"Adventure","PG",246082029,246082029
"Rogue One: A Star Wars Story",2020-12-16,"Adventure","PG-13",529483936,529483936
